timestamp,city,aqi,wind_speed,humidity
2025-03-29 20:05:30.652370+0700,Hà Nội,69,17.9 km/h,80%
2025-03-29 21:01:23.712050+0700,Hà Nội,67,17.9 km/h,80%
2025-03-29 22:01:41.367003+0700,Hà Nội,69,16.6 km/h,86%
2025-03-29 23:01:42.897641+0700,Hà Nội,68,16.6 km/h,86%
2025-03-30 00:01:43.751851+0700,Hà Nội,58,15.8 km/h,83%
2025-03-30 01:01:29.318942+0700,Hà Nội,55,15.8 km/h,83%
2025-03-30 02:01:45.661427+0700,Hà Nội,51,19.2 km/h,81%
2025-03-30 03:01:30.172393+0700,Hà Nội,53,19.0 km/h,82%
2025-03-30 04:01:27.725872+0700,Hà Nội,54,17.2 km/h,78%
2025-03-30 05:01:37.293419+0700,Hà Nội,49,16.1 km/h,85%
2025-03-30 06:01:38.961482+0700,Hà Nội,51,16.1 km/h,77%
2025-03-30 07:04:59.918520+0700,Hà Nội,49,14.6 km/h,73%
2025-03-30 08:29:17.978713+0700,Hà Nội,49,17.1 km/h,76%
2025-03-30 09:30:08.108860+0700,Hà Nội,53,17.2 km/h,69%
2025-03-30 10:16:26.622082+0700,Hà Nội,56,17.4 km/h,68%
2025-03-30 11:01:40.117036+0700,Hà Nội,56,17.4 km/h,68%
2025-03-30 12:01:37.437758+0700,Hà Nội,58,17.1 km/h,65%
2025-03-30 13:01:45.643454+0700,Hà Nội,60,17.1 km/h,62%
2025-03-30 14:01:44.087938+0700,Hà Nội,62,16.9 km/h,61%
2025-03-30 15:01:41.213655+0700,Hà Nội,64,17.1 km/h,56%
2025-03-30 16:01:38.915287+0700,Hà Nội,66,17.1 km/h,56%
2025-03-30 17:01:33.505786+0700,Hà Nội,65,16.4 km/h,56%
2025-03-30 19:01:47.207598+0700,Hà Nội,69,12.6 km/h,56%
2025-03-30 20:05:04.140541+0700,Hà Nội,76,12.2 km/h,58%
2025-03-30 21:01:34.378721+0700,Hà Nội,81,12.2 km/h,58%
2025-03-30 22:01:46.022771+0700,Hà Nội,77,11.6 km/h,58%
